flow_id,config,label,pkt_count,direction_ratio,mean_len,std_len,max_len,min_len,mean_iat,std_iat,max_iat,flow_duration
192.168.1.10_192.168.2.10_0x1860,tunnel-aes256cbc-sha1-modp2048-nopfs,voip,523,0.44,216.84,4.46,236.84,196.84,0.01981,0.00233,0.02682,10.36
192.168.1.10_192.168.2.10_0x2685,tunnel-aes256cbc-sha1-modp2048-nopfs,voip,453,0.41,211.17,0.01,231.17,191.17,0.02024,0.00497,0.03514,9.17
192.168.1.10_192.168.2.10_0x5555,tunnel-aes256gcm-ecp256-pfs,voip,378,0.52,213.02,0.47,233.02,193.02,0.02044,0.00253,0.02803,7.73
192.168.1.10_192.168.2.10_0x4556,tunnel-aes256gcm-ecp256-pfs,voip,461,0.52,207.0,0.98,227.0,187.0,0.02189,0.00374,0.03311,10.09
192.168.1.10_192.168.2.10_0x8099,tunnel-aes256cbc-sha1-modp2048-nopfs,voip,473,0.42,209.97,9.09,229.97,189.97,0.02165,0.00225,0.02839,10.24
192.168.1.10_192.168.2.10_0x4843,tunnel-aes128cbc-sha256-modp2048-pfs,voip,438,0.44,213.69,0.88,233.69,193.69,0.02034,0.00178,0.02569,8.91
192.168.1.10_192.168.2.10_0x8869,tunnel-aes256gcm-ecp256-pfs,voip,426,0.47,206.4,8.29,226.4,186.4,0.01731,0.00317,0.02682,7.37
192.168.1.10_192.168.2.10_0x6276,tunnel-aes256gcm-ecp256-pfs,voip,455,0.56,206.62,0.06,226.62,186.62,0.02122,0.00426,0.03401,9.66
192.168.1.10_192.168.2.10_0x1391,tunnel-aes256gcm-ecp256-pfs,voip,458,0.55,208.45,8.63,228.45,188.45,0.01698,0.00125,0.02075,7.78
192.168.1.10_192.168.2.10_0x9996,tunnel-aes256cbc-sha1-modp2048-nopfs,voip,554,0.55,214.17,4.72,234.17,194.17,0.02059,0.00148,0.02503,11.41
192.168.1.10_192.168.2.10_0x4840,tunnel-aes128cbc-sha256-modp2048-pfs,voip,461,0.54,205.78,0.4,225.78,185.78,0.01877,0.00276,0.02704,8.65
192.168.1.10_192.168.2.10_0x1863,tunnel-aes256cbc-sha1-modp2048-nopfs,voip,516,0.53,210.46,9.08,230.46,190.46,0.01602,0.002,0.02202,8.27
192.168.1.10_192.168.2.10_0x2678,tunnel-aes256gcm-ecp256-pfs,voip,459,0.55,207.49,9.3,227.49,187.49,0.021,0.00449,0.03446,9.64
192.168.1.10_192.168.2.10_0x6450,tunnel-aes128cbc-sha256-modp2048-pfs,voip,557,0.46,208.36,9.07,228.36,188.36,0.01828,0.00209,0.02454,10.18
192.168.1.10_192.168.2.10_0x7776,tunnel-aes256cbc-sha1-modp2048-nopfs,voip,367,0.56,211.73,2.22,231.73,191.73,0.01931,0.00477,0.03363,7.09
192.168.1.10_192.168.2.10_0x2495,tunnel-aes128cbc-sha256-modp2048-pfs,voip,459,0.54,211.29,9.62,231.29,191.29,0.01985,0.00201,0.02587,9.11
192.168.1.10_192.168.2.10_0x8554,tunnel-aes128cbc-sha256-modp2048-pfs,voip,503,0.46,222.32,0.51,242.32,202.32,0.02096,0.00196,0.02683,10.54
192.168.1.10_192.168.2.10_0x6172,tunnel-aes128cbc-sha256-modp2048-pfs,voip,487,0.5,215.71,2.38,235.71,195.71,0.0215,0.00391,0.03324,10.47
192.168.1.10_192.168.2.10_0x3931,tunnel-aes256gcm-ecp256-pfs,voip,560,0.6,208.05,7.98,228.05,188.05,0.02006,0.00378,0.03141,11.23
192.168.1.10_192.168.2.10_0x1659,tunnel-aes256cbc-sha1-modp2048-nopfs,voip,440,0.47,213.59,8.1,233.59,193.59,0.0181,0.00239,0.02528,7.96
192.168.1.10_192.168.2.10_0x2843,tunnel-aes256cbc-sha1-modp2048-nopfs,voip,521,0.59,197.65,8.38,217.65,177.65,0.02234,0.00184,0.02785,11.64
