flow_id,config,label,pkt_count,direction_ratio,mean_len,std_len,max_len,min_len,mean_iat,std_iat,max_iat,flow_duration
131.202.x.x_192.168.1.10_0x8203,iscx-replay,voip,324,0.5,215.7,5.47,265.7,165.7,0.02378,0.00877,0.0501,7.7
131.202.x.x_192.168.1.10_0x5040,iscx-replay,voip,582,0.55,221.21,11.93,271.21,171.21,0.0126,0.00827,0.0374,7.33
131.202.x.x_192.168.1.10_0x7905,iscx-replay,voip,539,0.59,207.99,9.1,257.99,157.99,0.01733,0.01119,0.05089,9.34
131.202.x.x_192.168.1.10_0x6851,iscx-replay,voip,509,0.38,209.44,5.07,259.44,159.44,0.01955,0.01399,0.06151,9.95
131.202.x.x_192.168.1.10_0x6603,iscx-replay,voip,401,0.58,203.95,14.4,253.95,153.95,0.02765,0.00838,0.0528,11.09
131.202.x.x_192.168.1.10_0x2474,iscx-replay,voip,362,0.69,217.08,7.1,267.08,167.08,0.02166,0.00772,0.04482,7.84
131.202.x.x_192.168.1.10_0x4659,iscx-replay,voip,514,0.33,210.44,12.05,260.44,160.44,0.01404,0.00793,0.03783,7.22
131.202.x.x_192.168.1.10_0x5380,iscx-replay,voip,555,0.33,210.4,14.05,260.4,160.4,0.02033,0.01216,0.05682,11.29
131.202.x.x_192.168.1.10_0x8732,iscx-replay,voip,401,0.32,211.86,9.26,261.86,161.86,0.02302,0.00896,0.04991,9.23
131.202.x.x_192.168.1.10_0x3551,iscx-replay,voip,584,0.55,208.64,11.91,258.64,158.64,0.02644,0.00855,0.05208,15.44
131.202.x.x_192.168.1.10_0x2278,iscx-replay,voip,661,0.62,216.74,7.2,266.74,166.74,0.01774,0.00757,0.04045,11.73
131.202.x.x_192.168.1.10_0x6958,iscx-replay,voip,410,0.62,208.03,6.55,258.03,158.03,0.01545,0.01007,0.04566,6.33
131.202.x.x_192.168.1.10_0x6269,iscx-replay,voip,443,0.49,207.74,12.24,257.74,157.74,0.0232,0.01402,0.06527,10.28
131.202.x.x_192.168.1.10_0x8797,iscx-replay,voip,640,0.38,212.16,12.73,262.16,162.16,0.03056,0.01276,0.06886,19.56
131.202.x.x_192.168.1.10_0x5382,iscx-replay,voip,499,0.65,205.5,8.69,255.5,155.5,0.0115,0.01068,0.04355,5.74
131.202.x.x_192.168.1.10_0x5580,iscx-replay,voip,573,0.33,199.77,11.82,249.77,149.77,0.02247,0.01341,0.06271,12.88
131.202.x.x_192.168.1.10_0x1933,iscx-replay,voip,626,0.31,205.28,7.93,255.28,155.28,0.00884,0.01279,0.04722,5.53
131.202.x.x_192.168.1.10_0x4417,iscx-replay,voip,298,0.6,208.68,8.19,258.68,158.68,0.02334,0.01207,0.05956,6.96
131.202.x.x_192.168.1.10_0x9213,iscx-replay,voip,406,0.57,217.27,5.83,267.27,167.27,0.02357,0.01234,0.06061,9.57
131.202.x.x_192.168.1.10_0x2478,iscx-replay,voip,500,0.33,227.6,7.42,277.6,177.6,0.0242,0.00949,0.05268,12.1
131.202.x.x_192.168.1.10_0x4418,iscx-replay,voip,497,0.64,220.69,5.08,270.69,170.69,0.02192,0.00656,0.04159,10.89
131.202.x.x_192.168.1.10_0x1589,iscx-replay,voip,410,0.32,220.76,9.36,270.76,170.76,0.02168,0.00965,0.05064,8.89
131.202.x.x_192.168.1.10_0x3303,iscx-replay,voip,358,0.48,198.7,10.69,248.7,148.7,0.02356,0.01179,0.05892,8.44
131.202.x.x_192.168.1.10_0x8199,iscx-replay,voip,590,0.65,208.88,10.83,258.88,158.88,0.01758,0.00962,0.04644,10.37
131.202.x.x_192.168.1.10_0x2996,iscx-replay,voip,449,0.66,202.9,6.62,252.9,152.9,0.02152,0.00992,0.05127,9.66
131.202.x.x_192.168.1.10_0x9667,iscx-replay,voip,503,0.66,209.38,5.84,259.38,159.38,0.01816,0.01091,0.0509,9.14
131.202.x.x_192.168.1.10_0x6483,iscx-replay,voip,507,0.36,233.42,6.21,283.42,183.42,0.02927,0.0132,0.06888,14.84
131.202.x.x_192.168.1.10_0x6484,iscx-replay,voip,316,0.65,213.96,13.58,263.96,163.96,0.02459,0.00811,0.04892,7.77
131.202.x.x_192.168.1.10_0x8264,iscx-replay,voip,551,0.35,222.94,12.05,272.94,172.94,0.0181,0.012,0.05411,9.97
131.202.x.x_192.168.1.10_0x5032,iscx-replay,voip,594,0.57,206.22,7.32,256.22,156.22,0.01869,0.01451,0.06221,11.1
131.202.x.x_192.168.1.10_0x4578,iscx-replay,video,2904,0.45,993.09,548.39,1360.0,64.0,0.00324,0.07255,0.22089,9.41
131.202.x.x_192.168.1.10_0x9702,iscx-replay,video,3710,0.61,1279.24,553.76,1360.0,64.0,0.00657,0.0376,0.11937,24.37
131.202.x.x_192.168.1.10_0x2273,iscx-replay,video,3066,0.45,1477.92,569.61,1360.0,64.0,0.00507,0.03762,0.11794,15.54
131.202.x.x_192.168.1.10_0x8073,iscx-replay,video,2753,0.45,1312.76,485.96,1360.0,64.0,0.00417,0.0347,0.10826,11.48
131.202.x.x_192.168.1.10_0x2019,iscx-replay,video,4122,0.41,1112.13,408.76,1360.0,64.0,0.00124,0.046,0.13923,5.11
