flow_id,config,label,pkt_count,direction_ratio,mean_len,std_len,max_len,min_len,mean_iat,std_iat,max_iat,flow_duration,esp_mean_len,esp_std_len,esp_min_len,esp_max_len
10.0.0.1_10.0.0.2,tunnel-aes256gcm-ecp256-pfs,icmp,60,0.5,154.0,0.0,154,154,0.2516429141416388,0.25584437333165905,0.5121920108795166,14.84693193435669,112.0,0.0,112,112
10.0.0.1_10.0.0.2,tunnel-aes256gcm-ecp256-pfs,bulk,15828,0.956722264341673,1312.6317917614354,263.41385856605797,1374,122,0.0009478766640853376,0.009790715124933446,0.10393691062927246,15.002043962478638,1270.6317917614354,263.41385856605797,80,1332
10.0.0.1_10.0.0.2,tunnel-aes256gcm-ecp256-pfs,web,45141,0.06018918499811701,1281.6362508584214,318.90454690754143,1374,122,0.0002720720217615617,0.02746891398975593,2.933809995651245,12.281331062316895,1239.6362508584214,318.90454690754143,80,1332
10.0.0.1_10.0.0.2,tunnel-aes256gcm-ecp256-pfs,video,7507,0.9981350739309978,1345.0339682962567,77.28913254183581,1350,102,0.0019989389754472464,0.00027044009330563025,0.004318952560424805,15.004035949707031,1303.0339682962567,77.28913254183581,60,1308
10.0.0.1_10.0.0.2,tunnel-aes256gcm-ecp256-pfs,voip,779,0.982028241335045,253.94865211810014,25.987800685084068,446,102,0.01928221719736918,0.00369821774102505,0.02031707763671875,15.001564979553223,211.94865211810014,25.987800685084068,60,404
10.0.0.1_10.0.0.2,tunnel-aes128cbc-sha256-modp2048-pfs,icmp,60,0.5,170.0,0.0,170,170,0.2517545223236084,0.25597096236186806,0.517071008682251,14.853516817092896,128.0,0.0,128,128
10.0.0.1_10.0.0.2,tunnel-aes128cbc-sha256-modp2048-pfs,bulk,15877,0.9629023115198085,1317.2625810921459,242.2707994882017,1370,138,0.0009449704614265886,0.009731830107220677,0.10364484786987305,15.00235104560852,1275.2625810921459,242.2707994882017,96,1328
10.0.0.1_10.0.0.2,tunnel-aes128cbc-sha256-modp2048-pfs,web,45379,0.06511822649243042,1284.077260406796,306.0188921903705,1370,138,0.00026813616406487267,0.02686389568073739,2.881641149520874,12.167482852935791,1242.077260406796,306.0188921903705,96,1328
10.0.0.1_10.0.0.2,tunnel-aes128cbc-sha256-modp2048-pfs,video,7579,0.9981527906056208,1349.1275893917402,76.2006154405334,1354,122,0.001979805763115761,0.0002649638719016816,0.003222942352294922,15.002968072891235,1307.1275893917402,76.2006154405334,80,1312
10.0.0.1_10.0.0.2,tunnel-aes128cbc-sha256-modp2048-pfs,voip,781,0.9820742637644047,261.9026888604353,25.68579484443719,458,122,0.019234739817105807,0.0038265671531863064,0.02076101303100586,15.00309705734253,219.90268886043535,25.685794844437194,80,416
10.0.0.1_10.0.0.2,tunnel-aes256cbc-sha1-modp2048-nopfs,icmp,60,0.5,166.0,0.0,166,166,0.2517432358305333,0.25595242361903686,0.5165941715240479,14.852850914001465,124.0,0.0,124,124
10.0.0.1_10.0.0.2,tunnel-aes256cbc-sha1-modp2048-nopfs,bulk,16489,0.9345624355631027,1279.028079325611,309.83679293422006,1366,134,0.0009099549890894846,0.009539501779944245,0.10409402847290039,15.003337860107422,1237.028079325611,309.83679293422006,92,1324
10.0.0.1_10.0.0.2,tunnel-aes256cbc-sha1-modp2048-nopfs,web,45129,0.0599171264597044,1286.4261561302046,294.7027416867814,1366,134,0.0002707891156964639,0.02700925389042649,2.9308278560638428,12.220171213150024,1244.4261561302046,294.7027416867814,92,1324
10.0.0.1_10.0.0.2,tunnel-aes256cbc-sha1-modp2048-nopfs,video,7579,0.9981527906056208,1345.1275893917402,76.2006154405334,1350,118,0.0019799022254229034,0.0002700832969077684,0.009339094161987305,15.00369906425476,1303.1275893917402,76.2006154405334,76,1308
10.0.0.1_10.0.0.2,tunnel-aes256cbc-sha1-modp2048-nopfs,voip,781,0.9820742637644047,257.9026888604353,25.68579484443719,454,118,0.01923479881042089,0.0038065871669283814,0.023024797439575195,15.003143072128296,215.90268886043535,25.685794844437194,76,412
10.0.0.1_10.0.0.2,tunnel-aes128gcm-curve25519-pfs,icmp,60,0.5,154.0,0.0,154,154,0.2518631199658927,0.25606372412188105,0.5236818790435791,14.859924077987671,112.0,0.0,112,112
10.0.0.1_10.0.0.2,tunnel-aes128gcm-curve25519-pfs,bulk,16008,0.9573963018490754,1302.5614692653674,258.1542635378095,1362,122,0.000937320741162634,0.009739261309718137,0.10399103164672852,15.003693103790283,1260.5614692653674,258.1542635378095,80,1320
10.0.0.1_10.0.0.2,tunnel-aes128gcm-curve25519-pfs,web,45238,0.06220434148282417,1279.1497413678765,301.6370709636205,1362,122,0.00027008523811809023,0.027332068088835544,2.9393038749694824,12.217845916748047,1237.1497413678765,301.6370709636205,80,1320
10.0.0.1_10.0.0.2,tunnel-aes128gcm-curve25519-pfs,video,7579,0.9981527906056208,1333.1307560364164,76.15215342417912,1338,102,0.0019796702565414415,0.0002632362058555603,0.004476070404052734,15.001941204071045,1291.1307560364164,76.15215342417912,60,1296
